name,lat,lng,category,city,country,googleMapsLink,note
富記麵家,22.2770532,114.1769649,港式料理,香港,HK,http://maps.google.com/?cid=10647796307197231936,
麥奀雲吞麵世家,22.2972512,114.1714282,港式料理,香港,HK,http://maps.google.com/?cid=15477143513477354248,
周記點心+茶餐廳,22.2869707,114.1388125,港式冰室,香港,HK,http://maps.google.com/?cid=17998199711325007448,
水記,22.283525,114.1542954,港式料理,香港,HK,http://maps.google.com/?cid=15810608433815912594,
點心到,22.3037815,114.1698291,港式/粵菜,香港,HK,http://maps.google.com/?cid=530332832169861403,
麥文記麵家,22.3046664,114.1705639,景點,香港,HK,http://maps.google.com/?cid=223003035127073132,
基隆茶餐廳,22.3263001,114.1667168,港式冰室,香港,HK,http://maps.google.com/?cid=7382979959097010219,
薔紅餐廳,22.2771621,114.1760636,港式料理,香港,HK,http://maps.google.com/?cid=9768052800790222862,
金輝點心(機利臣街),22.2767765,114.1702232,港式/粵菜,香港,HK,http://maps.google.com/?cid=14910905901228147722,
陳記燒臘飯店,22.3135329,114.1688973,住宿,香港,HK,http://maps.google.com/?cid=3163695473310567153,
啊一檸檬茶 (加拿分道店),22.2993394,114.1737229,港式料理,香港,HK,http://maps.google.com/?cid=11209808891964731421,
何車車仔麵,22.3243552,114.167067,港式料理,香港,HK,http://maps.google.com/?cid=4016664362636863695,
沾仔記,22.3035635,114.1698291,港式料理,香港,HK,http://maps.google.com/?cid=17060939160988148536,
